package,versions,declared_license,source
sha.js,2.4.12,(MIT AND BSD-3-Clause),https://github.com/crypto-browserify/sha.js
pako,1.0.11,(MIT AND Zlib),https://github.com/nodeca/pako
type-fest,0.21.3;4.41.0;5.9.0,(MIT OR CC0-1.0),https://github.com/sindresorhus/type-fest#readme
tslib,2.8.1,0BSD,https://www.typescriptlang.org/
@aws-sdk/checksums,3.1000.29,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/checksums
@aws-sdk/client-s3,3.1127.0,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/clients/client-s3
@aws-sdk/core,3.977.9,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/core
@aws-sdk/credential-provider-env,3.972.70,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-env
@aws-sdk/credential-provider-http,3.972.72,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-http
@aws-sdk/credential-provider-ini,3.973.15,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-ini
@aws-sdk/credential-provider-login,3.972.77,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-login
@aws-sdk/credential-provider-node,3.972.82,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-node
@aws-sdk/credential-provider-process,3.972.70,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-process
@aws-sdk/credential-provider-sso,3.973.14,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-sso
@aws-sdk/credential-provider-web-identity,3.972.49;3.972.76,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-web-identity
@aws-sdk/middleware-sdk-s3,3.972.75,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/middleware-sdk-s3
@aws-sdk/nested-clients,3.997.44,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/nested-clients
@aws-sdk/s3-request-presigner,3.1127.0,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/s3-request-presigner
@aws-sdk/signature-v4-multi-region,3.996.46,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/signature-v4-multi-region
@aws-sdk/token-providers,3.1116.0,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/token-providers
@aws-sdk/types,3.974.5,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/types
@aws-sdk/xml-builder,3.972.40,Apache-2.0,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/xml-builder
@aws/lambda-invoke-store,0.3.0,Apache-2.0,https://github.com/awslabs/aws-lambda-invoke-store
@composio/client,0.1.0-alpha.76,Apache-2.0,https://github.com/ComposioHQ/composio-base-ts#readme
@img/sharp-darwin-arm64,0.35.4,Apache-2.0,https://sharp.pixelplumbing.com
@openai/codex,0.153.4-darwin-arm64;0.153.4,Apache-2.0,https://github.com/openai/codex#readme
@opentelemetry/semantic-conventions,1.43.0,Apache-2.0,https://github.com/open-telemetry/opentelemetry-js/tree/main/semantic-conventions
@playwright/test,1.63.0,Apache-2.0,https://playwright.dev
@smithy/core,3.33.3,Apache-2.0,https://github.com/smithy-lang/smithy-typescript/tree/main/packages/core
@smithy/credential-provider-imds,4.5.2,Apache-2.0,https://github.com/smithy-lang/smithy-typescript/tree/main/packages/credential-provider-imds
@smithy/fetch-http-handler,5.8.0,Apache-2.0,https://github.com/smithy-lang/smithy-typescript/tree/main/packages/fetch-http-handler
@smithy/node-http-handler,4.12.1,Apache-2.0,https://github.com/smithy-lang/smithy-typescript/tree/main/packages/node-http-handler
@smithy/signature-v4,5.7.3,Apache-2.0,https://github.com/smithy-lang/smithy-typescript/tree/main/packages/signature-v4
@smithy/types,4.18.0,Apache-2.0,https://github.com/smithy-lang/smithy-typescript/tree/main/packages/types
@swc/core,1.15.3,Apache-2.0,https://swc.rs
@swc/counter,0.1.3,Apache-2.0,https://swc.rs
@swc/helpers,0.5.23,Apache-2.0,https://swc.rs
@swc/types,0.1.28,Apache-2.0,https://swc.rs
@vercel/cli-config,0.2.4,Apache-2.0,https://vercel.com/docs/projects/project-configuration/global-configuration
@vercel/cli-exec,1.0.1,Apache-2.0,https://vercel.com
@vercel/functions,3.9.5,Apache-2.0,https://vercel.com/docs/functions/functions-api-reference/vercel-functions-package
@vercel/oidc,3.2.0;3.8.5,Apache-2.0,https://vercel.com
@vercel/sandbox,3.2.1,Apache-2.0,https://vercel.com/docs/vercel-sandbox/sdk-reference
@workflow/astro,4.0.20,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/builders,4.1.10,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/cli,4.3.9,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/core,4.8.5,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/errors,4.2.1,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/nest,4.0.21,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/next,4.1.9,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/nitro,4.1.11,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/nuxt,4.0.21,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/rollup,4.0.20,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/serde,4.1.0-beta.2;4.1.2,Apache-2.0,https://github.com/vercel/workflow#readme
@workflow/sveltekit,4.0.20,Apache-2.0,https://github.com/vercel/workflow#readme
