package,version,declared_license
@electric-sql/pglite,0.4.3,Apache-2.0
@electric-sql/pglite-socket,0.1.3,Apache-2.0
@electric-sql/pglite-tools,0.3.3,Apache-2.0
@prisma/adapter-libsql,7.10.0,Apache-2.0
@prisma/client,7.10.0,Apache-2.0
@prisma/client-runtime-utils,7.10.0,Apache-2.0
@prisma/config,7.10.0,Apache-2.0
@prisma/debug,7.2.0,Apache-2.0
@prisma/debug,7.10.0,Apache-2.0
@prisma/driver-adapter-utils,7.10.0,Apache-2.0
@prisma/engines,7.10.0,Apache-2.0
@prisma/engines-version,7.10.0-4.0edf323efd1d98336f3f0a68684b56f689b900d3,Apache-2.0
@prisma/fetch-engine,7.10.0,Apache-2.0
@prisma/get-platform,7.2.0,Apache-2.0
@prisma/get-platform,7.10.0,Apache-2.0
@prisma/query-plan-executor,7.2.0,Apache-2.0
@prisma/streams-local,0.1.11,Apache-2.0
@prisma/studio-core,0.33.0,Apache-2.0
denque,2.1.0,Apache-2.0
detect-libc,2.0.2,Apache-2.0
long,5.3.2,Apache-2.0
prisma,7.10.0,Apache-2.0
@libsql/client,0.17.4,MIT
@libsql/core,0.17.4,MIT
@libsql/darwin-arm64,0.5.29,MIT
@libsql/hrana-client,0.10.0,MIT
@libsql/isomorphic-ws,0.1.5,MIT
@neon-rs/load,0.0.4,MIT
@radix-ui/primitive,1.1.3,MIT
@radix-ui/react-compose-refs,1.1.2,MIT
@radix-ui/react-primitive,2.1.3,MIT
@radix-ui/react-slot,1.2.3,MIT
@radix-ui/react-toggle,1.1.10,MIT
@radix-ui/react-use-controllable-state,1.2.2,MIT
@radix-ui/react-use-effect-event,0.0.2,MIT
@radix-ui/react-use-layout-effect,1.1.1,MIT
@standard-schema/spec,1.1.0,MIT
@types/d3-array,3.0.3,MIT
@types/d3-color,3.1.0,MIT
@types/d3-delaunay,6.0.1,MIT
@types/d3-format,3.0.1,MIT
@types/d3-geo,3.1.0,MIT
@types/d3-interpolate,3.0.1,MIT
@types/d3-path,3.1.1,MIT
@types/d3-scale,4.0.2,MIT
@types/d3-shape,3.1.7,MIT
@types/d3-time,3.0.0,MIT
@types/d3-time-format,2.1.0,MIT
@types/geojson,7946.0.16,MIT
@types/lodash,4.17.25,MIT
@types/node,22.20.2,MIT
@types/react,19.3.0,MIT
@types/ws,8.18.1,MIT
@visx/curve,4.0.1-alpha.0,MIT
@visx/event,4.0.1-alpha.0,MIT
@visx/grid,4.0.1-alpha.0,MIT
@visx/group,4.0.1-alpha.0,MIT
@visx/point,4.0.1-alpha.0,MIT
@visx/responsive,4.0.1-alpha.0,MIT
@visx/scale,4.0.1-alpha.0,MIT
@visx/shape,4.0.1-alpha.0,MIT
ajv,8.20.0,MIT
async-mutex,0.5.0,MIT
aws-ssl-profiles,1.1.2,MIT
better-result,2.10.0,MIT
c12,3.3.4,MIT
chokidar,5.0.0,MIT
classnames,2.5.1,MIT
confbox,0.2.4,MIT
